folder_name,data_split
BraTS-GoAT-00000,Train
BraTS-GoAT-00003,Test
BraTS-GoAT-00004,Train
BraTS-GoAT-00006,Train
BraTS-GoAT-00007,Train
BraTS-GoAT-00012,Validation
BraTS-GoAT-00014,Train
BraTS-GoAT-00016,Validation
BraTS-GoAT-00017,Validation
BraTS-GoAT-00019,Train
BraTS-GoAT-00021,Train
BraTS-GoAT-00023,Train
BraTS-GoAT-00024,Train
BraTS-GoAT-00025,Train
BraTS-GoAT-00026,Train
BraTS-GoAT-00027,Train
BraTS-GoAT-00028,Train
BraTS-GoAT-00030,Train
BraTS-GoAT-00032,Train
BraTS-GoAT-00033,Train
BraTS-GoAT-00034,Test
BraTS-GoAT-00035,Train
BraTS-GoAT-00037,Validation
BraTS-GoAT-00039,Train
BraTS-GoAT-00042,Train
BraTS-GoAT-00044,Test
BraTS-GoAT-00052,Validation
BraTS-GoAT-00054,Train
BraTS-GoAT-00055,Train
BraTS-GoAT-00060,Test
BraTS-GoAT-00061,Test
BraTS-GoAT-00062,Test
BraTS-GoAT-00063,Validation
BraTS-GoAT-00064,Validation
BraTS-GoAT-00065,Train
BraTS-GoAT-00067,Train
BraTS-GoAT-00071,Train
BraTS-GoAT-00073,Train
BraTS-GoAT-00074,Train
BraTS-GoAT-00075,Train
BraTS-GoAT-00077,Validation
BraTS-GoAT-00078,Validation
BraTS-GoAT-00081,Train
BraTS-GoAT-00082,Train
BraTS-GoAT-00084,Train
BraTS-GoAT-00087,Train
BraTS-GoAT-00088,Train
BraTS-GoAT-00090,Train
BraTS-GoAT-00091,Validation
BraTS-GoAT-00092,Train
BraTS-GoAT-00093,Train
BraTS-GoAT-00094,Train
BraTS-GoAT-00095,Validation
BraTS-GoAT-00097,Test
BraTS-GoAT-00103,Train
BraTS-GoAT-00105,Validation
BraTS-GoAT-00106,Validation
BraTS-GoAT-00108,Train
BraTS-GoAT-00109,Train
BraTS-GoAT-00110,Validation
BraTS-GoAT-00111,Train
BraTS-GoAT-00112,Train
BraTS-GoAT-00113,Train
BraTS-GoAT-00114,Train
BraTS-GoAT-00115,Train
BraTS-GoAT-00116,Test
BraTS-GoAT-00118,Validation
BraTS-GoAT-00120,Train
BraTS-GoAT-00121,Train
BraTS-GoAT-00122,Train
BraTS-GoAT-00126,Test
BraTS-GoAT-00128,Train
BraTS-GoAT-00132,Validation
BraTS-GoAT-00133,Train
BraTS-GoAT-00134,Test
BraTS-GoAT-00135,Test
BraTS-GoAT-00136,Train
BraTS-GoAT-00139,Train
BraTS-GoAT-00141,Train
BraTS-GoAT-00143,Train
BraTS-GoAT-00147,Train
BraTS-GoAT-00148,Train
BraTS-GoAT-00150,Train
BraTS-GoAT-00152,Train
BraTS-GoAT-00154,Validation
BraTS-GoAT-00155,Train
BraTS-GoAT-00156,Test
BraTS-GoAT-00162,Train
BraTS-GoAT-00163,Train
BraTS-GoAT-00166,Train
BraTS-GoAT-00167,Train
BraTS-GoAT-00168,Test
BraTS-GoAT-00169,Train
BraTS-GoAT-00170,Test
BraTS-GoAT-00171,Validation
BraTS-GoAT-00172,Train
BraTS-GoAT-00173,Train
BraTS-GoAT-00175,Train
BraTS-GoAT-00176,Train
BraTS-GoAT-00177,Validation
BraTS-GoAT-00179,Train
BraTS-GoAT-00180,Test
BraTS-GoAT-00181,Train
BraTS-GoAT-00184,Train
BraTS-GoAT-00185,Validation
BraTS-GoAT-00187,Train
BraTS-GoAT-00189,Train
BraTS-GoAT-00192,Validation
BraTS-GoAT-00194,Train
BraTS-GoAT-00197,Test
BraTS-GoAT-00198,Train
BraTS-GoAT-00199,Train
BraTS-GoAT-00201,Train
BraTS-GoAT-00202,Train
BraTS-GoAT-00203,Validation
BraTS-GoAT-00206,Train
BraTS-GoAT-00207,Train
BraTS-GoAT-00208,Train
BraTS-GoAT-00209,Train
BraTS-GoAT-00211,Test
BraTS-GoAT-00212,Train
BraTS-GoAT-00213,Test
BraTS-GoAT-00215,Train
BraTS-GoAT-00216,Validation
BraTS-GoAT-00218,Train
BraTS-GoAT-00219,Train
BraTS-GoAT-00220,Train
BraTS-GoAT-00222,Train
BraTS-GoAT-00223,Train
BraTS-GoAT-00224,Test
BraTS-GoAT-00226,Test
BraTS-GoAT-00227,Train
BraTS-GoAT-00228,Train
BraTS-GoAT-00232,Train
BraTS-GoAT-00233,Train
BraTS-GoAT-00235,Train
BraTS-GoAT-00239,Train
BraTS-GoAT-00241,Train
BraTS-GoAT-00249,Train
BraTS-GoAT-00250,Validation
BraTS-GoAT-00255,Train
BraTS-GoAT-00256,Train
BraTS-GoAT-00260,Train
BraTS-GoAT-00261,Train
BraTS-GoAT-00263,Test
BraTS-GoAT-00265,Train
BraTS-GoAT-00268,Train
BraTS-GoAT-00270,Test
BraTS-GoAT-00271,Test
BraTS-GoAT-00272,Test
BraTS-GoAT-00274,Train
BraTS-GoAT-00275,Train
BraTS-GoAT-00276,Test
BraTS-GoAT-00278,Test
BraTS-GoAT-00280,Test
BraTS-GoAT-00282,Train
BraTS-GoAT-00283,Train
BraTS-GoAT-00284,Train
BraTS-GoAT-00285,Train
BraTS-GoAT-00286,Train
BraTS-GoAT-00287,Validation
BraTS-GoAT-00291,Train
BraTS-GoAT-00292,Test
BraTS-GoAT-00293,Validation
BraTS-GoAT-00294,Train
BraTS-GoAT-00296,Validation
BraTS-GoAT-00302,Train
BraTS-GoAT-00303,Train
BraTS-GoAT-00305,Train
BraTS-GoAT-00308,Validation
BraTS-GoAT-00310,Train
BraTS-GoAT-00312,Train
BraTS-GoAT-00315,Train
BraTS-GoAT-00316,Test
BraTS-GoAT-00317,Train
BraTS-GoAT-00318,Test
BraTS-GoAT-00319,Train
